策略名称,总收益率,年化收益率,基准总收益率,基准年化收益率,最大回撤,总交易次数,胜率,盈亏比,参数
CCI基础超买超卖策略,-5.563172393751126,-1.100058343933763,99.27863717833765,14.25395649596628,-36.3607787200012,24,54.166666666666664,0.8622296502093181,"cci_period=20, overbought=100, oversold=-100"
CCI趋势跟踪策略,36.964999204489835,6.267390110598736,99.27863717833765,14.25395649596628,-27.239213858301692,77,24.675324675324674,4.535124169285584,"cci_period=20, ma_period=50, trend_threshold=0"
CCI背离策略,55.570573653674906,8.915646747456151,99.27863717833765,14.25395649596628,-13.840616430338926,6,50.0,4.622126341271749,"cci_period=20, divergence_period=20"
CCI多周期策略,-4.646664621457452,-0.9152931468298986,99.27863717833765,14.25395649596628,-21.092738073649965,41,36.58536585365854,1.612976216090031,"fast_period=14, slow_period=50"
CCI动态阈值策略,42.07604105088518,7.022449708180223,99.27863717833765,14.25395649596628,-11.083328326216845,12,66.66666666666666,1.7421303819323253,"cci_period=20, volatility_period=20, base_threshold=100"
