fast_period,slow_period,sharpe_ratio,total_return,annual_return,max_drawdown
5,30,1.1387313747920187,0.27589917965566624,0.08468681434992953,-0.028416616817883884
25,30,1.1158865617978657,0.2732369329896003,0.08393117597497946,-0.0235541120558608
25,40,1.0962835958115664,0.2735725475418078,0.08402649304157772,-0.026610418084141243
20,40,1.0615410077818441,0.2688913818678147,0.08269549204644355,-0.026523180384438915
5,40,1.0312690908982163,0.2635222356247493,0.08116484189167705,-0.029511325439755844
15,40,1.0080571151974365,0.2579970798746438,0.0795851844681168,-0.03513309961300121
5,90,0.9958047826444145,0.23902265957582003,0.07412488138260831,-0.023554112055860953
10,40,0.9667922004642086,0.2520572219059758,0.07788179732755318,-0.03134115623439246
15,30,0.9657125466335399,0.24783163669551667,0.07666673556446035,-0.030689215441096953
15,50,0.9647859933001081,0.22887845246113248,0.07118277986665,-0.028665002248555182
10,30,0.963184251104627,0.24873873207562225,0.07692780055967208,-0.03840418673498563
20,30,0.9603846290276272,0.24828611582879967,0.07679755193623139,-0.02880299136295222
5,50,0.9504401446827264,0.24225872753867184,0.07506005267157612,-0.033887311328500355
10,60,0.9434601453748952,0.2285095516521105,0.07107548393726693,-0.026120496146945952
5,60,0.9418183615725036,0.2289301874190628,0.07119782542136188,-0.02958098774381473
10,80,0.9233802789465936,0.22725784612549704,0.07071126146097084,-0.03064456992027743
5,70,0.921494307524999,0.2253348636920962,0.07015122761033799,-0.026209042566736722
20,50,0.9133706204388738,0.24352008383611623,0.07542412454204683,-0.036919506888693145
10,70,0.9034379509914982,0.2221005447107154,0.06920796833165821,-0.026380407400449845
15,60,0.8834780541594066,0.21840457712102035,0.06812803469161155,-0.032770295235081494
5,80,0.8791865121905871,0.22077927899641603,0.06882215479356812,-0.024354979085678474
25,50,0.8611000458100694,0.23260362316335215,0.07226505643763015,-0.025477130791876915
15,80,0.8348215883769818,0.21288534200345466,0.06651128474207346,-0.03103488692365006
10,90,0.8277643450218533,0.21398771091398516,0.06683459295654437,-0.03616862097727958
20,60,0.8256934114358023,0.21096706755132932,0.06594821656095817,-0.02690782224301787
25,90,0.8198243206284257,0.21038564572925922,0.06577743533291347,-0.02504696126464194
20,70,0.8096601226855479,0.20827313294898175,0.06515646570175648,-0.024549006965456224
10,50,0.7974127474033075,0.20481690235238337,0.06413895049188745,-0.03277176940867231
20,80,0.7400830068244287,0.19809044518065355,0.06215308961514965,-0.027466822332475962
15,90,0.7293938166268294,0.19806985680990796,0.062146999892391586,-0.039864378491100486
15,70,0.7293479792353932,0.19665308812861482,0.06172777393362039,-0.02771423296375033
25,60,0.7288017610169675,0.1952843208627686,0.061322437492900894,-0.02355411205586138
20,90,0.7080959809787193,0.19495908548788266,0.06122607926188195,-0.03518311082049513
25,80,0.6661936900604469,0.18772514245041338,0.05907833019288966,-0.02844580493475155
25,70,0.6386006544140567,0.18364006845244707,0.05786162335898437,-0.02804632620728728
