策略名称,基准收益率 (%),总收益率 (%),最大回撤 (%),夏普比率,卡玛比率,胜率 (%),交易次数,年化收益率 (%),超额收益 (%)
MACD 回归,12.13118363752017,10.863713586520694,32.894709135459614,0.19733431060395268,0.0580522332674479,61.53846153846154,,,-1.267470050999476
BIAS 回归,12.13118363752017,-4.224922705425124,32.636585096000786,0.033210549151066145,-0.024164382404274303,55.55555555555556,,,-16.356106342945296
布林带宽度回归,12.13118363752017,-21.88405680830436,24.89844394481243,-0.34445923490570485,-0.17787823033040917,46.15384615384615,,,-34.01524044582453
