策略,总收益%,年化收益%,最大回撤%,夏普比率,收益回撤比,胜率%,交易次数,持仓天数,基准收益%,超额收益%
RSI 回归 (RSI Reversion),-4.661342321358388,,35.63261660287173,,,61.702127659574465,,,31.76879580677918,-36.43013812813757
Z-Score 回归 (Z-Score Reversion),-13.07869329058862,,35.786987092076,,,52.0,,,31.76879580677918,-44.8474890973678
偏离度回归 (Deviation Reversion),17.299199654499667,,30.941748465799602,,,70.0,,,31.76879580677918,-14.469596152279514
KDJ 回归 (KDJ Reversion),34.22888898680109,,46.6960541676395,,,,,,31.76879580677918,2.4600931800219072
Williams %R 回归 (Williams %R Reversion),36.6105807830446,,46.696054167639495,,,,,,31.76879580677918,4.841784976265416
CCI 回归 (CCI Reversion),45.325678911060095,,46.696054167639495,,,,,,31.76879580677918,13.556883104280914
