strategy,atr_window,multiplier,start,end,rows,total_return_pct,max_drawdown_pct,sharpe,calmar,total_trades,win_rate_pct,entry_n,exit_n,window,slope_window,enter_slope,exit_slope,fast,slow
supertrend,10.0,2.0,2017-08-03,2026-03-17,2090,-46.886291044863086,54.460471627932264,-0.2386455549188884,-0.19209362000158056,57.0,41.07142857142857,,,,,,,,
supertrend,10.0,2.5,2017-08-03,2026-03-17,2090,-42.33055885980786,49.84119199147306,-0.17619436231904778,-0.18389214644872248,41.0,32.5,,,,,,,,
supertrend,10.0,3.0,2017-08-03,2026-03-17,2090,-39.669573797466754,50.478144248937205,-0.14847711948073883,-0.16733956574512657,31.0,30.0,,,,,,,,
supertrend,10.0,3.5,2017-08-03,2026-03-17,2090,-34.703374811695106,50.843170212704244,-0.09483352972959537,-0.14108934390910216,23.0,36.36363636363637,,,,,,,,
supertrend,10.0,4.0,2017-08-03,2026-03-17,2090,-30.943791627896438,51.970497073154476,-0.05329617012718937,-0.12048106981009668,17.0,41.17647058823529,,,,,,,,
supertrend,20.0,2.0,2017-08-03,2026-03-17,2090,-37.30550789284202,49.98423567507179,-0.13239475507021048,-0.15665652229080007,52.0,45.09803921568628,,,,,,,,
supertrend,20.0,2.5,2017-08-03,2026-03-17,2090,-50.17485162369968,56.238659317962394,-0.2819250704975829,-0.20369263754747377,44.0,30.23255813953488,,,,,,,,
supertrend,20.0,3.0,2017-08-03,2026-03-17,2090,-47.53719020724642,53.39795351744574,-0.24626880600452752,-0.19952291862547464,34.0,39.39393939393939,,,,,,,,
supertrend,20.0,3.5,2017-08-03,2026-03-17,2090,-43.19136593914799,50.769410389608424,-0.18922812959436047,-0.18522300593512914,25.0,36.0,,,,,,,,
supertrend,20.0,4.0,2017-08-03,2026-03-17,2090,-32.89850501055545,51.97049707315446,-0.08019945663668925,-0.1295034289864358,18.0,22.22222222222222,,,,,,,,
