策略名称,总收益率,年化收益率,基准总收益率,基准年化收益率,最大回撤,总交易次数,胜率,盈亏比,参数
基础OBV策略,110.9707321144895,15.519802931576866,99.27863717833765,14.25395649596628,-19.151276694782204,103,32.038834951456316,4.089980079806253,OBV_ma=20
OBV MACD结合策略,52.20195015738574,8.455851084385046,99.27863717833765,14.25395649596628,-37.20504325190406,59,37.28813559322034,2.59042810410825,"fast_period=12, slow_period=26, signal_period=9"
OBV RSI结合策略,131.47742437161645,17.609351157014764,99.27863717833765,14.25395649596628,-15.816944749345762,43,51.162790697674424,2.604228150165819,"rsi_period=14, oversold=30, overbought=70"
OBV趋势跟踪策略,107.44880873035795,15.144586955438122,99.27863717833765,14.25395649596628,-15.404762800106674,62,33.87096774193548,5.111318487999357,"obv_ma_period=20, price_ma_period=50"
OBV背离策略,38.61673900107612,6.5138535451712665,99.27863717833765,14.25395649596628,-16.442456292508666,15,66.66666666666666,1.0733466590454779,lookback_period=20
